Bureau of Justice Statistics,,,,,,
Filename: rsavcaf9513at1.csv,,,,,,
"Appendix table 1. Estimates and standard errors for figure 2: Rate of rape or sexual assault for females, by age and post-secondary enrollment status, 1997–2013",,,,,,
"Report title: Rape or sexual assault victimization among College-age  females , 1995-2013 NCJ 248471",,,,,,
"Data Source:  Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013",,,,,,
Author: Sofi Sinozich and Lynn Langton,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
 ,,,,,,
"Appendix table 1. Estimates and standard errors for figure 2: Rate of rape or sexual assault for females, by age and post-secondary enrollment status, 1997–2013",,,,,,
,,Estimates,,,Standard errors,
,Students ,Nonstudents ,,Students ,Nonstudents ,Non-college-age 
,ages 18–24/a,ages 18–24/b,,ages 18–24/a,ages 18–24/b,females/c
,,,,,,
1997,9.2,7.9,3.6,2.9,2,0.5
1998,7.8,8.9,3.1,2.9,2.3,0.5
1999,6,11.2,3.5,2.1,2.3,0.4
2000,7.1,12.2,2.8,2.3,2.5,0.4
2001,8.8,11.2,3,2.7,2.3,0.4
2002,8.9,10,2.2,2.7,2.2,0.3
2003,7.6,8.8,2.2,2.4,2.1,0.3
2004,6.5,7,1.8,2.4,2,0.3
2005,4.7,5.6,1.6,1.9,1.6,0.3
2006,5.4,5.5,1.7,2.1,1.7,0.3
2007,5.5,5.4,1.7,1.8,1.5,0.3
2008,5.2,6.7,1.9,2.1,2,0.3
2009,3.7,8.3,1.6,1.5,2.1,0.3
2010,4.1,8.4,1.6,1.8,2.3,0.3
2011,4.6,7.1,1.4,1.7,1.9,0.3
2012,5.9,4.1,1.3,2,1.4,0.3
2013,4.4,4.3,1.4,1.4,1.2,0.2
Note: Estimates based on 3-year rolling averages centered on the most recent year.  ,,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,
"a/Includes female victims ages 18 to 24 enrolled part time or full time in a post-secondary institution (i.e., college or university, trade school, or vocational school).",,,,,,
b/Includes female victims ages 18 to 24 not enrolled in a post-secondary institution.,,,,,,
c/Includes females ages 12 to 17 and age 25 or older. ,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,,
